Month,chronic lower respiratory diseases: (United States),Bronchitis: (United States),Emphysema: (United States),clrd: (United States),Control: (United States)
2015-01,<1,5,1,<1,63
2015-02,<1,5,1,0,65
2015-03,<1,5,1,0,69
2015-04,<1,4,1,<1,73
2015-05,<1,3,1,<1,70
2015-06,<1,3,1,0,72
2015-07,<1,2,1,0,72
2015-08,<1,2,1,<1,70
2015-09,<1,3,1,<1,73
2015-10,<1,4,1,<1,73
2015-11,<1,4,1,<1,68
2015-12,<1,5,1,<1,70
2016-01,<1,5,1,<1,71
2016-02,<1,5,1,0,71
2016-03,0,5,1,<1,74
2016-04,<1,3,1,<1,73
2016-05,<1,3,1,<1,71
2016-06,<1,2,1,<1,77
2016-07,<1,2,1,<1,70
2016-08,<1,2,1,<1,68
2016-09,<1,3,1,<1,71
2016-10,<1,4,1,<1,70
2016-11,<1,4,1,<1,69
2016-12,<1,5,1,<1,67
2017-01,<1,6,1,<1,69
2017-02,<1,6,1,<1,71
2017-03,<1,5,1,<1,68
2017-04,<1,4,1,<1,70
2017-05,<1,4,1,<1,73
2017-06,0,3,1,0,72
2017-07,<1,2,1,<1,70
2017-08,<1,2,1,<1,66
2017-09,<1,3,1,<1,69
2017-10,<1,4,1,<1,76
2017-11,<1,5,1,<1,72
2017-12,<1,6,1,0,66
2018-01,<1,7,1,<1,68
2018-02,<1,6,1,<1,77
2018-03,<1,5,1,<1,75
2018-04,<1,4,1,0,71
2018-05,<1,3,1,<1,74
2018-06,<1,3,1,<1,75
2018-07,<1,2,1,<1,73
2018-08,<1,2,1,<1,73
2018-09,<1,3,1,<1,72
2018-10,<1,4,1,<1,72
2018-11,<1,5,1,<1,69
2018-12,<1,6,1,<1,66
2019-01,<1,6,1,<1,67
2019-02,<1,6,1,<1,70
2019-03,<1,5,1,<1,70
2019-04,<1,4,1,<1,68
2019-05,<1,4,1,<1,69
2019-06,<1,3,1,0,72
2019-07,<1,2,1,<1,73
2019-08,<1,2,1,<1,77
2019-09,<1,4,1,<1,73
2019-10,<1,4,1,<1,70
2019-11,<1,5,1,0,67
2019-12,<1,7,1,<1,69
2020-01,<1,7,1,<1,70
2020-02,<1,6,1,<1,68
2020-03,<1,7,1,<1,65
2020-04,<1,3,1,<1,70
2020-05,<1,1,1,<1,83
2020-06,<1,1,1,<1,78
2020-07,<1,1,1,<1,77
2020-08,<1,1,1,<1,72
2020-09,<1,1,1,<1,76
2020-10,<1,2,1,<1,79
2020-11,<1,2,1,<1,69
2020-12,<1,2,1,<1,68
2021-01,<1,2,1,<1,68
2021-02,<1,2,1,<1,75
2021-03,<1,2,1,<1,74
2021-04,<1,2,1,<1,74
2021-05,<1,2,1,<1,76
2021-06,<1,2,1,0,75
2021-07,<1,3,1,0,71
2021-08,<1,3,1,0,69
2021-09,<1,3,1,0,70
2021-10,<1,4,1,<1,69
2021-11,<1,5,1,<1,70
2021-12,<1,5,1,<1,66
2022-01,<1,5,1,<1,72
2022-02,<1,3,1,<1,77
2022-03,<1,3,1,<1,79
2022-04,<1,4,1,<1,79
2022-05,<1,4,1,<1,77
2022-06,<1,3,1,<1,82
2022-07,<1,3,1,<1,77
2022-08,<1,3,1,<1,74
2022-09,<1,3,1,<1,77
2022-10,<1,4,1,<1,74
